
                  X               SDV_EQPS           SDV_Seq            SDV_Qeq             MISES      

                0.                 0.                 0.                 0.                 0.         
              201.769E-03        179.954E-03        768.03             768.03             768.03       
              202.406E-03        180.483E-03        768.39             768.39             768.39       
              203.044E-03        181.011E-03        768.748            768.748            768.748      
              203.681E-03        181.539E-03        769.106            769.106            769.106      
              204.319E-03        182.067E-03        769.462            769.462            769.462      
              204.956E-03        182.594E-03        769.817            769.817            769.817      
              205.593E-03        183.121E-03        770.171            770.171            770.171      
              206.23E-03         183.647E-03        770.524            770.524            770.524      
              206.867E-03        184.173E-03        770.876            770.876            770.876      
              207.504E-03        184.699E-03        771.227            771.227            771.227      
              208.141E-03        185.225E-03        771.576            771.576            771.576      
              208.777E-03        185.75E-03         771.924            771.924            771.924      
              209.414E-03        186.275E-03        772.271            772.271            772.271      
              210.051E-03        186.799E-03        772.617            772.617            772.617      
              210.687E-03        187.323E-03        772.962            772.962            772.962      
              211.323E-03        187.847E-03        773.306            773.306            773.306      
              211.959E-03        188.37E-03         773.649            773.649            773.649      
              212.596E-03        188.893E-03        773.991            773.991            773.991      
              213.232E-03        189.416E-03        774.331            774.331            774.331      
              213.868E-03        189.938E-03        774.671            774.671            774.671      
              214.503E-03        190.46E-03         775.009            775.009            775.009      
              215.139E-03        190.982E-03        775.347            775.347            775.347      
              215.775E-03        191.503E-03        775.683            775.683            775.683      
              216.41E-03         192.024E-03        776.018            776.018            776.018      
              217.046E-03        192.545E-03        776.353            776.353            776.353      
              217.681E-03        193.065E-03        776.686            776.686            776.686      
              218.316E-03        193.585E-03        777.018            777.018            777.018      
              218.952E-03        194.104E-03        777.349            777.349            777.349      
              219.587E-03        194.624E-03        777.679            777.679            777.679      
              220.222E-03        195.143E-03        778.008            778.008            778.008      
              220.857E-03        195.661E-03        778.337            778.337            778.337      
              221.491E-03        196.179E-03        778.664            778.664            778.664      
              222.126E-03        196.697E-03        778.99             778.99             778.99       
              222.761E-03        197.215E-03        779.315            779.315            779.315      
              223.395E-03        197.732E-03        779.639            779.639            779.639      
              224.03E-03         198.249E-03        779.962            779.962            779.962      
              224.664E-03        198.765E-03        780.285            780.285            780.285      
              225.298E-03        199.281E-03        780.606            780.606            780.606      
              225.932E-03        199.797E-03        780.926            780.926            780.926      
              226.566E-03        200.313E-03        781.246            781.246            781.246      
              227.2E-03          200.828E-03        781.564            781.564            781.564      
              227.834E-03        201.342E-03        781.882            781.882            781.882      
              228.468E-03        201.857E-03        782.198            782.198            782.198      
              229.102E-03        202.371E-03        782.514            782.514            782.514      
              229.735E-03        202.885E-03        782.828            782.828            782.828      
              230.369E-03        203.398E-03        783.142            783.142            783.142      
              231.002E-03        203.911E-03        783.455            783.455            783.455      
              231.636E-03        204.424E-03        783.767            783.767            783.767      
              232.269E-03        204.937E-03        784.078            784.078            784.078      
              232.902E-03        205.449E-03        784.388            784.388            784.388      
              233.535E-03        205.96E-03         784.698            784.698            784.698      
              234.168E-03        206.472E-03        785.006            785.006            785.006      
              234.801E-03        206.983E-03        785.313            785.313            785.313      
              235.433E-03        207.494E-03        785.62             785.62             785.62       
              236.066E-03        208.004E-03        785.926            785.926            785.926      
              236.699E-03        208.514E-03        786.231            786.231            786.231      
              237.331E-03        209.024E-03        786.535            786.535            786.535      
              237.963E-03        209.533E-03        786.838            786.838            786.838      
              238.596E-03        210.043E-03        787.14             787.14             787.14       
              239.228E-03        210.551E-03        787.442            787.442            787.442      
              239.86E-03         211.06E-03         787.742            787.742            787.742      
              240.492E-03        211.568E-03        788.042            788.042            788.042      
              241.124E-03        212.076E-03        788.341            788.341            788.341      
              241.756E-03        212.583E-03        788.639            788.639            788.639      
              242.387E-03        213.09E-03         788.936            788.936            788.936      
              243.019E-03        213.597E-03        789.233            789.233            789.233      
              243.651E-03        214.103E-03        789.529            789.529            789.529      
              244.282E-03        214.61E-03         789.823            789.823            789.823      
              244.913E-03        215.115E-03        790.117            790.117            790.117      
              245.545E-03        215.621E-03        790.411            790.411            790.411      
              246.176E-03        216.126E-03        790.703            790.703            790.703      
              246.807E-03        216.631E-03        790.995            790.995            790.995      
              247.438E-03        217.135E-03        791.286            791.286            791.286      
              248.069E-03        217.639E-03        791.576            791.576            791.576      
              248.699E-03        218.143E-03        791.865            791.865            791.865      
              249.33E-03         218.647E-03        792.153            792.153            792.153      
              249.961E-03        219.15E-03         792.441            792.441            792.441      
              250.591E-03        219.653E-03        792.728            792.728            792.728      
              251.222E-03        220.155E-03        793.014            793.014            793.014      
              251.852E-03        220.658E-03        793.3              793.3              793.3        
              252.482E-03        221.159E-03        793.584            793.584            793.584      
              253.112E-03        221.661E-03        793.868            793.868            793.868      
              253.742E-03        222.162E-03        794.151            794.151            794.151      
              254.372E-03        222.663E-03        794.434            794.434            794.434      
              255.002E-03        223.164E-03        794.716            794.716            794.716      
              255.632E-03        223.664E-03        794.997            794.997            794.997      
              256.262E-03        224.164E-03        795.277            795.277            795.277      
              256.891E-03        224.664E-03        795.556            795.556            795.556      
              257.521E-03        225.163E-03        795.835            795.835            795.835      
              258.15E-03         225.662E-03        796.113            796.113            796.113      
              258.779E-03        226.16E-03         796.39             796.39             796.39       
              259.408E-03        226.659E-03        796.667            796.667            796.667      
              260.038E-03        227.157E-03        796.943            796.943            796.943      
              260.667E-03        227.655E-03        797.218            797.218            797.218      
              261.296E-03        228.152E-03        797.492            797.492            797.492      
              261.924E-03        228.649E-03        797.766            797.766            797.766      
              262.553E-03        229.146E-03        798.039            798.039            798.039      
              263.182E-03        229.642E-03        798.312            798.312            798.312      
              263.81E-03         230.138E-03        798.583            798.583            798.583      
              264.439E-03        230.634E-03        798.854            798.854            798.854      
              265.067E-03        231.13E-03         799.125            799.125            799.125      
              265.695E-03        231.625E-03        799.394            799.394            799.394      
              266.324E-03        232.12E-03         799.663            799.663            799.663      
              266.952E-03        232.614E-03        799.932            799.932            799.932      
              267.58E-03         233.108E-03        800.199            800.199            800.199      
              268.207E-03        233.602E-03        800.466            800.466            800.466      
              268.835E-03        234.096E-03        800.732            800.732            800.732      
              269.463E-03        234.589E-03        800.998            800.998            800.998      
              270.091E-03        235.082E-03        801.263            801.263            801.263      
              270.718E-03        235.575E-03        801.527            801.527            801.527      
              271.346E-03        236.067E-03        801.791            801.791            801.791      
              271.973E-03        236.559E-03        802.054            802.054            802.054      
              272.6E-03          237.051E-03        802.316            802.316            802.316      
              273.227E-03        237.542E-03        802.578            802.578            802.578      
              273.854E-03        238.033E-03        802.839            802.839            802.839      
              274.481E-03        238.524E-03        803.099            803.099            803.099      
              275.108E-03        239.014E-03        803.359            803.359            803.359      
              275.735E-03        239.504E-03        803.618            803.618            803.618      
              276.362E-03        239.994E-03        803.877            803.877            803.877      
              276.988E-03        240.484E-03        804.135            804.135            804.135      
              277.615E-03        240.973E-03        804.392            804.392            804.392      
              278.241E-03        241.462E-03        804.649            804.649            804.649      
              278.868E-03        241.95E-03         804.905            804.905            804.905      
              279.494E-03        242.439E-03        805.161            805.161            805.161      
              280.12E-03         242.927E-03        805.415            805.415            805.415      
              280.746E-03        243.414E-03        805.67             805.67             805.67       
              281.372E-03        243.902E-03        805.923            805.923            805.923      
              281.998E-03        244.389E-03        806.176            806.176            806.176      
              282.624E-03        244.875E-03        806.429            806.429            806.429      
              283.249E-03        245.362E-03        806.681            806.681            806.681      
              283.875E-03        245.848E-03        806.932            806.932            806.932      
              284.5E-03          246.334E-03        807.182            807.182            807.182      
              285.126E-03        246.819E-03        807.433            807.433            807.433      
              285.751E-03        247.305E-03        807.682            807.682            807.682      
              286.376E-03        247.789E-03        807.931            807.931            807.931      
              287.001E-03        248.274E-03        808.179            808.179            808.179      
              287.626E-03        248.758E-03        808.427            808.427            808.427      
              288.251E-03        249.242E-03        808.674            808.674            808.674      
              288.876E-03        249.726E-03        808.921            808.921            808.921      
              289.501E-03        250.209E-03        809.167            809.167            809.167      
              290.125E-03        250.692E-03        809.412            809.412            809.412      
              290.75E-03         251.175E-03        809.657            809.657            809.657      
              291.374E-03        251.658E-03        809.902            809.902            809.902      
              291.999E-03        252.14E-03         810.145            810.145            810.145      
              292.623E-03        252.622E-03        810.389            810.389            810.389      
              293.247E-03        253.103E-03        810.631            810.631            810.631      
              293.871E-03        253.584E-03        810.873            810.873            810.873      
              294.495E-03        254.065E-03        811.115            811.115            811.115      
              295.119E-03        254.546E-03        811.356            811.356            811.356      
              295.743E-03        255.026E-03        811.596            811.596            811.596      
              296.367E-03        255.507E-03        811.836            811.836            811.836      
              296.991E-03        255.986E-03        812.076            812.076            812.076      
              297.614E-03        256.466E-03        812.315            812.315            812.315      
              298.238E-03        256.945E-03        812.553            812.553            812.553      
              298.861E-03        257.424E-03        812.791            812.791            812.791      
              299.484E-03        257.902E-03        813.028            813.028            813.028      
              300.107E-03        258.381E-03        813.265            813.265            813.265      
              300.73E-03         258.858E-03        813.501            813.501            813.501      
              301.353E-03        259.336E-03        813.737            813.737            813.737      
              301.976E-03        259.814E-03        813.972            813.972            813.972      
              302.599E-03        260.291E-03        814.206            814.206            814.206      
              303.222E-03        260.767E-03        814.441            814.441            814.441      
              303.845E-03        261.244E-03        814.674            814.674            814.674      
              304.467E-03        261.72E-03         814.907            814.907            814.907      
              305.09E-03         262.196E-03        815.14             815.14             815.14       
              305.712E-03        262.672E-03        815.372            815.372            815.372      
              306.334E-03        263.147E-03        815.604            815.604            815.604      
              306.956E-03        263.622E-03        815.835            815.835            815.835      
              307.578E-03        264.097E-03        816.065            816.065            816.065      
